#,Bok,Forfatter,Serie,Genre,Antall sider,Dato startet,Dato ferdig,År utgitt,Antall dager
55,The Emperor's Soul ,Brandon Sanderson,Arcanum Unbounded,Fantasy,129,31. mars. 2020,31. mars. 2020,2012,1
56,The Hope Of Elantris,Brandon Sanderson,Arcanum Unbounded,Fantasy,,31. mars. 2020,31. mars. 2020,2007,
57,The Eleventh Metal,Brandon Sanderson,Arcanum Unbounded,Fantasy,192,1. april. 2020,1. april 2020,2011,1
58,Mistborn Secret History,Brandon Sanderson,Arcanum Unbounded,Fantasy,,1. april. 2020,2. april. 2020,2016,2
59,Shadows Of Self,Brandon Sanderson,Wax and Wayne series,Fantasy,376,2. april. 2020,4. april. 2020,2015,3
60,The Bands Of Mourning,Brandon Sanderson,Wax and Wayne series,Fantasy,437,5. april. 2020,8. april. 2020,2016,4
61,The Way Of Kings,Brandon Sanderson,Stormlight Archive,Fantasy,1001,10. apr. 2020,16. april. 2020,2010,7
62,Words Of Radiance,Brandon Sanderson,Stormlight Archive,Fantasy,1080,19. april. 2020,27. april. 2020,2014,9
63,Oathbringer,Brandon Sanderson,Stormlight Archive,Fantasy,1233,29. april. 2020,9. mai. 2020,2017,11
64,Three Body Problem,Cixin Liu,Remembrance of Earth's Past,Sci-fi,424,10. mai. 2020,15. mai. 2020,2006,6
65,The Dark Forest,Cixin Liu,Remembrance of Earth's Past,Sci-fi,550,16. mai. 2020,21. mai. 2020,2008,6
66,The Eye Of The World,Rober Jordan,The Wheel Of Time,Fantasy,657,22. mai. 2020,26. mai. 2020,1990,5
67,The Great Hunt,Rober Jordan,The Wheel Of Time,Fantasy,633,1. juni. 2020,18. juni. 2020,1990,18
68,The Waking Fire,Anthony Ryan,The Draconis Memoria,Fantasy,679,10. juli. 2020,25. juli. 2020,2016,16
69,Gardens Of The Moon,Steven Erikson,Malazan Book Of The Fallen,Fantasy,657,26. juli. 2020,6. august. 2020,1999,12
70,Deadhouse Gates,Steven Erikson,Malazan Book Of The Fallen,Fantasy,836,6. august. 2020,24. august. 2020,2000,19
71,Memories Of Ice,Steven Erikson,Malazan Book Of The Fallen,Fantasy,913,25. august. 2020,13. sep. 2020,2001,20
72,House Of Chains,Steven Erikson,Malazan Book Of The Fallen,Fantasy,1015,16. sep. 2020,5. okt. 2020,2002,20
73,Dawnshard,Brandon Sanderson,Stormlight Novella,Fantasy,199,19. nov. 2020,21.11.2020,2020,3
74,Rythm Of War,Brandon Sanderson,Stormlight Archive,Fantasy,,22. nov. 2020,7. des. 2020,2020,16
75,Salvation Lost,Peter F. Hamilton,The Salvation Sequence,Sci-fi,461,5. feb. 2021,14. feb. 2021,2019,10
76,The Saints of Salvation,Peter F. Hamilton,The Salvation Sequence,Sci-fi,,17.feb. 2021,,2020,
